brand,Belgium,France,Germany,Italy,UK
BMW,43,42,44,40,35
MCC,,1,2,1,
VW,127,120,129,113,115
alfa romeo,105,86,75,111,66
audi,83,78,88,82,67
citroen,157,156,147,145,129
daewoo,12,16,11,15,12
daf,6,6,5,6,5
daihatsu,55,,32,3,26
fiat,189,171,171,205,150
ford,130,126,126,123,126
honda,75,66,69,28,77
hyundai,46,18,26,33,38
innocenti,3,13,4,37,
kia,15,4,15,9,11
lancia,111,109,90,125,26
mazda,96,81,91,26,80
mercedes,52,51,52,52,47
mitsubishi,92,40,82,12,74
nissan,121,95,117,29,118
opel,167,124,145,112,165
peugeot,144,147,132,122,123
renault,184,189,171,177,169
rover,165,153,81,117,202
saab,50,33,29,33,51
seat,53,56,38,57,43
simca,,,,1,
skoda,10,10,10,10,8
subaru,23,,,4,2
suzuki,38,14,33,17,23
tal/hillman,7,,,,10
tal/matra,8,10,5,6,
tal/simca,19,18,17,18,13
tal/sunb,3,,,,1
talbot,44,41,37,40,57
toyota,129,81,109,17,123
volvo,74,69,70,72,73
yugo,7,11,,,10
