brand,Belgium,France,Germany,Italy,UK
audi,538408.5675214962,88808.05022762349,24447.441903074476,2.1910491208947666e7,11244.530978804993
citroen,293736.83518269676,45331.248456107474,15113.099020881773,1.03386276488543e7,7040.742662202796
fiat,217476.70471187582,42200.593382978375,13185.333786485166,8.803891998765675e6,4932.427225310876
ford,296579.166420983,53776.88919479103,17268.851894986394,1.4287902292402688e7,5981.826658905624
mercedes,743941.4397419845,123495.68964406157,32743.41333944659,3.489100096308568e7,16977.57223102969
opel,312725.0615540032,54324.78040279098,17941.723911900113,1.4251552596499275e7,7063.656209141529
peugeot,323992.08399720537,49280.57855845414,17127.431297322477,1.3019527889537774e7,8102.649787540243
renault,292450.9675416914,46644.96782017842,14898.095042458297,1.0914903166033043e7,6499.498153258675
rover,234384.60724280897,52131.22701636096,18334.71285419172,1.7378725688050464e7,4956.076516772902
saab,698885.6914870573,139522.00457571785,40437.622289919855,3.519746264704317e7,11153.329412226012
toyota,282866.67395659763,64673.4696108788,20131.740954329387,2.528805950867052e7,7899.646883435887
VW,340216.48348703724,56199.22419101851,17069.01180418792,1.5130306677494898e7,6770.500016517716
alfa romeo,403965.93521171156,58727.47873272135,18588.716076813205,1.4447146338013584e7,7604.2885512550365
BMW,679703.6276545416,124628.87899175042,33633.270108739154,3.164472038253398e7,15329.342067175105
daf,90097.6853951852,10418.096392876078,5940.238791993445,1.1314966264204546e6,902.6995319812793
honda,302027.2359824172,73548.48343116567,20972.24537948391,2.4825186692705657e7,9229.867405109073
lancia,389499.84390344,50043.229207227385,19724.618276318768,1.3526580591607146e7,6342.597969845258
nissan,291181.6018266417,61837.68802234667,18936.478990650918,1.867528053383027e7,5883.365563327066
tal/simca,122452.81308276409,18465.40560076075,8085.674898679793,1.6012621199889216e6,1085.6254014745984
tal/matra,284180.7631578947,32888.60765297126,16648.321356711698,4.658439385918476e6,
tal/sunb,97048.03609341825,,,,851.0
volvo,490096.9532779785,86835.93458084525,31978.759700709867,2.8250676735473525e7,9213.298749960153
innocenti,158291.77233710495,25136.314721161456,7809.258669698693,4.468866816765863e6,
talbot,158888.37146246678,25016.593824755233,9830.693732177015,4.726560307339635e6,2441.3690915664583
tal/hillman,131257.10331050228,,,,936.0638246884653
mazda,292623.0938538382,55649.54992284294,20704.968297650597,2.928160964973324e7,7933.003553550136
mitsubishi,323905.17282990733,62877.48258855586,20804.928983055743,2.296559188563214e7,7973.597937255307
simca,,,,3.845e6,
daihatsu,247300.23021764538,,14213.623729506104,2.0645266118836917e7,6862.462016531012
subaru,253066.55566955716,,,1.6201261261261262e7,3290.242105263158
hyundai,333952.36837916984,62622.65383763253,21299.06711461833,1.8177030138995312e7,7673.574948078765
suzuki,261862.2377863672,53696.527702775675,15651.078804123532,1.694279920102725e7,7488.99841878116
yugo,163254.98701860665,30887.67232798799,,,3290.4039994957293
seat,332288.7844126028,53612.9536704188,18182.689158858797,1.259410375647983e7,7289.117988864518
skoda,325762.74018928903,54167.16493731085,18665.695398025768,1.6661303254318073e7,6528.631557441458
kia,336769.2164179105,65678.37874291881,21728.930945169417,1.7445130821714625e7,6654.033198240924
daewoo,415251.29252178804,68040.28391302483,23629.270762052878,1.884322955803387e7,9390.86494104383
MCC,,53900.0,16051.512654502649,1.6242e7,
