brand,Belgium,France,Germany,Italy,UK
audi,365180,618126,5364036,807719,517386
citroen,750889,7521087,1271348,1779307,1266763
fiat,523316,2445360,3000466,21073861,1553356
ford,1025709,3283185,7667654,3075943,11598098
mercedes,300292,598980,6216000,671799,459837
opel,1164116,2220010,12951844,2341287,6388669
peugeot,835879,10227257,1822469,1609600,2198534
renault,1072884,16816936,3608482,3643329,2349544
rover,240473,815417,227031,520129,8247708
saab,36932,38901,70247,75148,280533
toyota,661346,250616,1257176,103800,847199
VW,1142890,2518290,15382422,2994641,2058396
alfa romeo,107859,431602,302448,2665384,135255
BMW,114144,207647,1749140,242070,241131
daf,45194,50927,68344,22528,51280
honda,208613,212779,870195,116748,649746
lancia,68227,399093,269551,3982102,30244
nissan,402542,445346,1341736,318753,2397932
tal/simca,97059,593098,287455,339398,99010
tal/matra,2375,28355,6958,3778,
tal/sunb,3768,,,,1021
volvo,228586,259236,490093,365419,1160683
innocenti,2563,29067,10554,492119,
talbot,151306,1338117,340852,347238,959751
tal/hillman,1314,,,,225336
mazda,282892,292261,1385544,30177,380746
mitsubishi,187780,36700,761438,12521,173943
simca,,,,626,
daihatsu,31657,,97895,1582,31698
subaru,15107,,,1776,3895
hyundai,31416,31595,179186,121371,168043
suzuki,60281,18518,230191,35045,53756
yugo,2311,12659,,,63458
seat,97566,516862,531088,782621,148175
skoda,17328,55512,204434,86439,95445
kia,5360,3707,70654,6742,23194
daewoo,14228,46634,64300,121050,106435
MCC,,4064,44174,13794,
